manifest_version,pool_name,object_id,sku,subset,source,source_uid,source_model_path,texture_root,format,material_slot_count,audit_status,notes,auditor,audit_time,semantic_probe_sampled,semantic_probe_status,semantic_probe_needed,semantic_stratum,selection_reason,review_flags,review_flag_count,review_status,review_priority,default_split,pool_role,include_in_default_train,include_in_default_eval,include_in_main_supervision,split_reason,avg_gt_roughness_std,avg_gt_roughness_span,avg_gt_metallic_std,avg_gt_metallic_span,avg_gt_metallic_mean
mini_v1_abo_ecommerce_v0.1,mini_v1_candidate_pool,abo_000996dae516e9f3a4a7,B07NYSH2S4,ecommerce,abo_selected,abo_000996dae516e9f3a4a7,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/4/B07NYSH2S4.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/4,glb,1,A_ready,uv_and_pbr_channels_present; albedo=factor+texture; roughness=factor+texture; metallic=factor+texture,second_pass_glb_json_probe_v1,2026-04-16T04:23:52Z,true,review_needed,true,single_material_factor_texture,cover_factor_texture_majority_cases,semantic_probe_needed;metallic_near_zero_review;low_semantic_variation,3,needs_review,high,train,main_supervision,true,false,true,review_flagged_train_keep_policy,0.034130,0.014379,0.002093,0.003922,0.009695
mini_v1_abo_ecommerce_v0.1,mini_v1_candidate_pool,abo_0054874c26e5aece25cb,B075QGD5HS,ecommerce,abo_selected,abo_0054874c26e5aece25cb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/S/B075QGD5HS.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/S,glb,1,A_ready,uv_and_pbr_channels_present; albedo=texture; roughness=texture; metallic=texture,second_pass_glb_json_probe_v1,2026-04-16T04:23:52Z,true,review_needed,true,single_material_texture_only,cover_texture_only_cases,semantic_probe_needed;metallic_near_zero_review,2,needs_review,medium,train,main_supervision,true,false,true,review_flagged_train_keep_policy,0.064373,0.000000,0.001930,0.003922,0.001614
mini_v1_abo_ecommerce_v0.1,mini_v1_candidate_pool,abo_0067c17eb1e459f35597,B08G1RYJ84,ecommerce,abo_selected,abo_0067c17eb1e459f35597,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/4/B08G1RYJ84.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/4,glb,1,A_ready,uv_and_pbr_channels_present; albedo=factor+texture; roughness=factor+texture; metallic=factor+texture,second_pass_glb_json_probe_v1,2026-04-16T04:23:52Z,false,not_sampled,false,,,,0,none,none,train,main_supervision,true,false,true,deterministic_material_slot_stratified_holdout,,,,,
mini_v1_abo_ecommerce_v0.1,mini_v1_candidate_pool,abo_00936ff8a0008f61487a,B0732L9718,ecommerce,abo_selected,abo_00936ff8a0008f61487a,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/8/B0732L9718.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/8,glb,1,A_ready,uv_and_pbr_channels_present; albedo=factor+texture; roughness=factor+texture; metallic=factor+texture,second_pass_glb_json_probe_v1,2026-04-16T04:23:52Z,false,not_sampled,false,,,,0,none,none,train,main_supervision,true,false,true,deterministic_material_slot_stratified_holdout,,,,,
mini_v1_abo_ecommerce_v0.1,mini_v1_candidate_pool,abo_009c86393b784d849100,B07B4M68JR,ecommerce,abo_selected,abo_009c86393b784d849100,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/R/B07B4M68JR.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/R,glb,1,A_ready,uv_and_pbr_channels_present; albedo=factor+texture; roughness=factor+texture; metallic=factor+texture,second_pass_glb_json_probe_v1,2026-04-16T04:23:52Z,false,not_sampled,false,,,,0,none,none,train,main_supervision,true,false,true,deterministic_material_slot_stratified_holdout,,,,,
mini_v1_abo_ecommerce_v0.1,mini_v1_candidate_pool,abo_00c1103c1efeb4fb873c,B07H8SQ2NZ,ecommerce,abo_selected,abo_00c1103c1efeb4fb873c,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/Z/B07H8SQ2NZ.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/Z,glb,1,A_ready,uv_and_pbr_channels_present; albedo=factor+texture; roughness=factor+texture; metallic=factor+texture,second_pass_glb_json_probe_v1,2026-04-16T04:23:52Z,false,not_sampled,false,,,,0,none,none,train,main_supervision,true,false,true,deterministic_material_slot_stratified_holdout,,,,,
mini_v1_abo_ecommerce_v0.1,mini_v1_candidate_pool,abo_00ea299698383478b5fb,B07HP8Z5YP,ecommerce,abo_selected,abo_00ea299698383478b5fb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/P/B07HP8Z5YP.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/P,glb,1,A_ready,uv_and_pbr_channels_present; albedo=texture; roughness=texture; metallic=texture,second_pass_glb_json_probe_v1,2026-04-16T04:23:52Z,false,not_sampled,false,,,,0,none,none,train,main_supervision,true,false,true,deterministic_material_slot_stratified_holdout,,,,,
mini_v1_abo_ecommerce_v0.1,mini_v1_candidate_pool,abo_00f1910fb78981bf2422,B07SHYRLNJ,ecommerce,abo_selected,abo_00f1910fb78981bf2422,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/J/B07SHYRLNJ.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/J,glb,1,A_ready,uv_and_pbr_channels_present; albedo=texture; roughness=texture; metallic=texture,second_pass_glb_json_probe_v1,2026-04-16T04:23:52Z,false,not_sampled,false,,,,0,none,none,train,main_supervision,true,false,true,deterministic_material_slot_stratified_holdout,,,,,
mini_v1_abo_ecommerce_v0.1,mini_v1_candidate_pool,abo_016903c69289e6e3407e,B07P5LNMMJ,ecommerce,abo_selected,abo_016903c69289e6e3407e,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/J/B07P5LNMMJ.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/J,glb,1,A_ready,uv_and_pbr_channels_present; albedo=factor+texture; roughness=factor+texture; metallic=factor+texture,second_pass_glb_json_probe_v1,2026-04-16T04:23:52Z,false,not_sampled,false,,,,0,none,none,train,main_supervision,true,false,true,deterministic_material_slot_stratified_holdout,,,,,
mini_v1_abo_ecommerce_v0.1,mini_v1_candidate_pool,abo_01750a08c415bc81d493,B074KKXLK1,ecommerce,abo_selected,abo_01750a08c415bc81d493,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/1/B074KKXLK1.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/abo_selected/1,glb,1,A_ready,uv_and_pbr_channels_present; albedo=factor+texture; roughness=factor+texture; metallic=factor+texture,second_pass_glb_json_probe_v1,2026-04-16T04:23:52Z,false,not_sampled,false,,,,0,none,none,train,main_supervision,true,false,true,deterministic_material_slot_stratified_holdout,,,,,
