object_id,subset,source,source_uid,source_model_path,texture_root,format,has_mesh,has_uv,has_albedo,has_normal,has_roughness,has_metallic,roughness_valid,metallic_valid,material_slot_count,needs_conversion,needs_material_bake,audit_status,reject_reason,license,notes,audit_time,auditor
google_scanned_objects_054768580c9d0550f2af,ecommerce,gso_selected,google_scanned_objects_054768580c9d0550f2af,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Utana_5_Porcelain_Ramekin_Large/meshes/model.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Utana_5_Porcelain_Ramekin_Large/meshes,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
google_scanned_objects_1d3160f39783c6ddbd6a,ecommerce,gso_selected,google_scanned_objects_1d3160f39783c6ddbd6a,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Threshold_Porcelain_Spoon_Rest_White/meshes/model.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Threshold_Porcelain_Spoon_Rest_White/meshes,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
google_scanned_objects_1ed3179503fe8179f360,ecommerce,gso_selected,google_scanned_objects_1ed3179503fe8179f360,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Vtech_Roll_Learn_Turtle/meshes/model.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Vtech_Roll_Learn_Turtle/meshes,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
google_scanned_objects_4f7a602fc6a880604363,ecommerce,gso_selected,google_scanned_objects_4f7a602fc6a880604363,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Top_Paw_Dog_Bowl_Blue_Paw_Bone_Ceramic_25_fl_oz_total/meshes/model.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Top_Paw_Dog_Bowl_Blue_Paw_Bone_Ceramic_25_fl_oz_total/meshes,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
google_scanned_objects_56bd8fa904e6b3de9dce,ecommerce,gso_selected,google_scanned_objects_56bd8fa904e6b3de9dce,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Top_Paw_Dog_Bow_Bone_Ceramic_13_fl_oz_total/meshes/model.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Top_Paw_Dog_Bow_Bone_Ceramic_13_fl_oz_total/meshes,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
google_scanned_objects_6ff882d3727104f0ed08,ecommerce,gso_selected,google_scanned_objects_6ff882d3727104f0ed08,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/TriStar_Products_PPC_Power_Pressure_Cooker_XL_in_Black/meshes/model.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/TriStar_Products_PPC_Power_Pressure_Cooker_XL_in_Black/meshes,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
google_scanned_objects_759fd392abf1079e548d,ecommerce,gso_selected,google_scanned_objects_759fd392abf1079e548d,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Toysmith_Windem_Up_Flippin_Animals_Dog/meshes/model.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Toysmith_Windem_Up_Flippin_Animals_Dog/meshes,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
google_scanned_objects_9e9b749bf74db8401f29,ecommerce,gso_selected,google_scanned_objects_9e9b749bf74db8401f29,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Threshold_Porcelain_Teapot_White/meshes/model.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Threshold_Porcelain_Teapot_White/meshes,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
google_scanned_objects_a8b835e643edce52a596,ecommerce,gso_selected,google_scanned_objects_a8b835e643edce52a596,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Threshold_Porcelain_Serving_Bowl_Coupe_White/meshes/model.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Threshold_Porcelain_Serving_Bowl_Coupe_White/meshes,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
google_scanned_objects_b0fec72849ba7767350f,ecommerce,gso_selected,google_scanned_objects_b0fec72849ba7767350f,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Threshold_Textured_Damask_Bath_Towel_Pink/meshes/model.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Threshold_Textured_Damask_Bath_Towel_Pink/meshes,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
google_scanned_objects_b8ee0ef8cc5023db73e8,ecommerce,gso_selected,google_scanned_objects_b8ee0ef8cc5023db73e8,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Threshold_Tray_Rectangle_Porcelain/meshes/model.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Threshold_Tray_Rectangle_Porcelain/meshes,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
google_scanned_objects_bb177ff4b399b2832495,ecommerce,gso_selected,google_scanned_objects_bb177ff4b399b2832495,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/VEGETABLE_GARDEN/meshes/model.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/VEGETABLE_GARDEN/meshes,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
google_scanned_objects_c02ebdff2bbd41642c16,ecommerce,gso_selected,google_scanned_objects_c02ebdff2bbd41642c16,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Threshold_Ramekin_White_Porcelain/meshes/model.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Threshold_Ramekin_White_Porcelain/meshes,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
google_scanned_objects_c89aa59b6b1fb7f1d27e,ecommerce,gso_selected,google_scanned_objects_c89aa59b6b1fb7f1d27e,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Toys_R_Us_Treat_Dispenser_Smart_Puzzle_Foobler/meshes/model.obj,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/gso_selected/Toys_R_Us_Treat_Dispenser_Smart_Puzzle_Foobler/meshes,obj,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,true,unknown,B_fixable,needs_obj_to_glb;needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
